#Mouse Gene	Human Gene	Source
Bmyc	MYC	PanEnsembl
Cnih4	CNIH4	MGI, PanEnsembl, HomoloGene
Zp3	ZP3	MGI, PanEnsembl, HomoloGene
Dnaic2	DNAI2	MGI, PanEnsembl, HomoloGene
Arl1	ARL1	MGI, PanEnsembl, HomoloGene
Ascl3	ASCL3	MGI, PanEnsembl, HomoloGene
Ccn3	CCN3	MGI
Nov	CCN3	PanEnsembl, HomoloGene
Nphs2	NPHS2	MGI, PanEnsembl, HomoloGene
Btnl9	BTNL9	MGI, PanEnsembl, HomoloGene
Grip1	GRIP1	MGI, PanEnsembl, HomoloGene
Eppk1	EPPK1	MGI, HomoloGene
Brap	BRAP	MGI, PanEnsembl, HomoloGene
Cep85l	CEP85L	MGI, PanEnsembl, HomoloGene
Traf5	TRAF5	MGI, PanEnsembl, HomoloGene
Cnot6l	CNOT6L	MGI, PanEnsembl, HomoloGene
Olfr196	OR5H2	MGI, PanEnsembl, HomoloGene
Olfr186	OR5H2	PanEnsembl, HORDE
1810037I17Rik	C4orf3	PanEnsembl
Atg16l2	ATG16L2	MGI, PanEnsembl, HomoloGene
C1qtnf7	C1QTNF7	MGI, PanEnsembl, HomoloGene
Hexb	HEXB	MGI, PanEnsembl, HomoloGene
Iqsec2	IQSEC2	MGI, PanEnsembl, HomoloGene
Fam219b	FAM219B	MGI, PanEnsembl, HomoloGene
Yars	YARS1	MGI, PanEnsembl, HomoloGene
Mtmr10	MTMR10	MGI, PanEnsembl, HomoloGene
Ciao2a	CIAO2A	MGI
Fam96a	CIAO2A	PanEnsembl, HomoloGene
Adgrg4	ADGRG4	MGI
Gpr112	ADGRG4	PanEnsembl, HomoloGene
Rgmb	RGMB	MGI, PanEnsembl, HomoloGene
Gas2l2	GAS2L2	MGI, HomoloGene
Taldo1	TALDO1	MGI, PanEnsembl, HomoloGene
Nbea	NBEA	MGI, PanEnsembl, HomoloGene
Atad2	ATAD2	MGI, PanEnsembl, HomoloGene
Tle6	TLE6	MGI, PanEnsembl, HomoloGene
Myt1	MYT1	MGI, PanEnsembl, HomoloGene
Atp13a4	ATP13A4	MGI, PanEnsembl, HomoloGene
Zfp365	ZNF365	MGI, PanEnsembl, HomoloGene
Tdrd6	TDRD6	MGI, PanEnsembl, HomoloGene
Bdkrb2	BDKRB2	MGI, PanEnsembl, HomoloGene
Ccnd1	CCND1	MGI, PanEnsembl, HomoloGene
Fancd2	FANCD2	MGI, PanEnsembl, HomoloGene
Gatad1	GATAD1	MGI, PanEnsembl, HomoloGene
Olfr373	OR2Z1	MGI, PanEnsembl, HORDE
Olfr372	OR2Z1	HomoloGene, HORDE
Pou5f2	POU5F2	MGI, PanEnsembl, HomoloGene
Kcna5	KCNA5	MGI, PanEnsembl, HomoloGene
Ccdc51	CCDC51	MGI, PanEnsembl, HomoloGene
Kank4	KANK4	MGI, PanEnsembl, HomoloGene
Fgf8	FGF8	MGI, PanEnsembl, HomoloGene
Ascc2	ASCC2	MGI, PanEnsembl, HomoloGene
Vstm5	VSTM5	MGI, PanEnsembl, HomoloGene
S1pr5	S1PR5	MGI, PanEnsembl, HomoloGene
Hist1h2bp	H2BC17	MGI, HomoloGene
Itln1	ITLN1	MGI, PanEnsembl, HomoloGene
Gm9765	ITLN1	PanEnsembl
Stim2	STIM2	MGI, PanEnsembl, HomoloGene
Arhgef10	ARHGEF10	MGI, PanEnsembl, HomoloGene
Rasa2	RASA2	MGI, PanEnsembl, HomoloGene
Lmln	LMLN	MGI, PanEnsembl, HomoloGene
Pspn	PSPN	MGI, PanEnsembl, HomoloGene
Naip2	NAIP	MGI, PanEnsembl, HomoloGene
Naip1	NAIP	PanEnsembl
Naip5	NAIP	PanEnsembl
Naip6	NAIP	PanEnsembl
Meiob	MEIOB	MGI, PanEnsembl, HomoloGene
Cyp3a44	CYP3A5	MGI, PanEnsembl
Cyp3a13	CYP3A5	PanEnsembl
Cyp3a11	CYP3A5	PanEnsembl, HomoloGene
Cyp3a41b	CYP3A5	PanEnsembl
Cyp3a41a	CYP3A5	PanEnsembl
Cyp3a25	CYP3A5	PanEnsembl
Cyp3a16	CYP3A5	PanEnsembl
Cyp3a59	CYP3A5	PanEnsembl
Cyp3a57	CYP3A5	PanEnsembl
Agbl2	AGBL2	MGI, PanEnsembl, HomoloGene
Zfp597	ZNF597	MGI, PanEnsembl, HomoloGene
Cul2	CUL2	MGI, PanEnsembl, HomoloGene
Spata31	SPATA31A5	HomoloGene
Gstk1	GSTK1	MGI, PanEnsembl, HomoloGene
Gm1758	ANKRD62	PanEnsembl
Ubr2	UBR2	MGI, PanEnsembl, HomoloGene
Foxp1	FOXP1	PanEnsembl
Plekhm3	PLEKHM3	MGI, PanEnsembl, HomoloGene
Xrn1	XRN1	MGI, PanEnsembl, HomoloGene
Tnfrsf10b	TNFRSF10B	PanEnsembl
Arap2	ARAP2	MGI, PanEnsembl, HomoloGene
Oxt	OXT	MGI, PanEnsembl, HomoloGene
Haao	HAAO	MGI, PanEnsembl, HomoloGene
Nucb2	NUCB2	MGI, PanEnsembl, HomoloGene
Clca4b	CLCA4	MGI
Gm6289	CLCA4	PanEnsembl
AI747448	CLCA4	PanEnsembl, HomoloGene
Clca6	CLCA4	PanEnsembl
Atg4c	ATG4C	MGI, PanEnsembl, HomoloGene
Dtwd1	DTWD1	MGI, PanEnsembl, HomoloGene
Tarsl2	TARS3	MGI, PanEnsembl, HomoloGene
Snx4	SNX4	MGI, PanEnsembl, HomoloGene
Nt5c3	NT5C3A	MGI, PanEnsembl, HomoloGene
Egfl6	EGFL6	MGI, PanEnsembl, HomoloGene
Ppm1a	PPM1A	MGI, PanEnsembl, HomoloGene
Maged2	MAGED2	MGI, PanEnsembl, HomoloGene
Ppp2r2d	PPP2R2D	MGI, PanEnsembl, HomoloGene
Defb30	DEFB135	PanEnsembl
Rubcnl	RUBCNL	MGI
5031414D18Rik	RUBCNL	PanEnsembl, HomoloGene
Sell	SELL	MGI, PanEnsembl, HomoloGene
Lrrd1	LRRD1	MGI, PanEnsembl, HomoloGene
Vgll3	VGLL3	MGI, PanEnsembl, HomoloGene
Depdc7	DEPDC7	MGI, PanEnsembl, HomoloGene
Tspyl3	TSPYL6	PanEnsembl
Slco3a1	SLCO3A1	MGI, PanEnsembl, HomoloGene
Nxpe5	NXPE1	PanEnsembl
Angpt1	ANGPT1	MGI, PanEnsembl, HomoloGene
Zp3	POMZP3	PanEnsembl
Itprid2	ITPRID2	MGI
Ssfa2	ITPRID2	PanEnsembl, HomoloGene
Ppid	PPID	MGI, PanEnsembl, HomoloGene
Msantd2	MSANTD2	PanEnsembl
Prkd1	PRKD1	MGI, PanEnsembl, HomoloGene
Acot2	ACOT2	MGI, PanEnsembl, HomoloGene
Acot1	ACOT2	PanEnsembl
Acot3	ACOT2	PanEnsembl
Acot5	ACOT2	PanEnsembl
Ergic3	ERGIC3	MGI, PanEnsembl, HomoloGene
Thrap3	THRAP3	MGI, PanEnsembl, HomoloGene
Cse1l	CSE1L	MGI, PanEnsembl, HomoloGene
Dctn1	DCTN1	MGI, PanEnsembl, HomoloGene
Sumo3	SUMO4	PanEnsembl
Mrpl41	MRPL41	MGI, PanEnsembl, HomoloGene
Gm6434	MRPL41	PanEnsembl
Fam117a	FAM117A	MGI, PanEnsembl, HomoloGene
Snx10	SNX10	MGI, PanEnsembl, HomoloGene
Exosc7	EXOSC7	MGI, PanEnsembl, HomoloGene
Arhgap24	ARHGAP24	MGI, PanEnsembl, HomoloGene
Cd209e	CD209	MGI, PanEnsembl, HomoloGene
Cd209d	CD209	PanEnsembl
Cd209b	CD209	PanEnsembl
Rbm5	RBM5	MGI, PanEnsembl, HomoloGene
Clec12b	CLEC12B	MGI, PanEnsembl, HomoloGene
Asb10	ASB10	MGI, PanEnsembl, HomoloGene
Sec31b	SEC31B	MGI, PanEnsembl, HomoloGene
Taf6l	TAF6L	MGI, PanEnsembl, HomoloGene
Chl1	CHL1	MGI, PanEnsembl, HomoloGene
Nop10	NOP10	MGI, PanEnsembl, HomoloGene
Scamp2	SCAMP2	MGI, PanEnsembl, HomoloGene
Marchf7	MARCHF7	MGI
March7	MARCHF7	PanEnsembl, HomoloGene
Tpt1	TPT1	MGI, PanEnsembl, HomoloGene
Nudt6	NUDT6	MGI, PanEnsembl, HomoloGene
Slc5a6	SLC5A6	MGI, PanEnsembl, HomoloGene
Plcb4	PLCB4	MGI, PanEnsembl, HomoloGene
Mug2	PZP	PanEnsembl
Zfp148	ZNF148	MGI, PanEnsembl, HomoloGene
Aadat	AADAT	MGI, PanEnsembl, HomoloGene
Ribc2	RIBC2	MGI, PanEnsembl, HomoloGene
Prkch	PRKCH	MGI, PanEnsembl, HomoloGene
Tubb5	TUBB	MGI, PanEnsembl, HomoloGene
Tbl3	TBL3	MGI, PanEnsembl, HomoloGene
Olfr574	OR51T1	MGI, PanEnsembl, HomoloGene, HORDE
Nelfcd	NELFCD	MGI, PanEnsembl, HomoloGene
Coq6	COQ6	MGI, PanEnsembl, HomoloGene
Pea15a	PEA15	MGI, PanEnsembl, HomoloGene
Macc1	MACC1	MGI, PanEnsembl, HomoloGene
Slc22a30	SLC22A25	MGI, PanEnsembl, HomoloGene
Slc22a19	SLC22A25	PanEnsembl
Slc22a28	SLC22A25	PanEnsembl
Slc22a27	SLC22A25	PanEnsembl
Slc22a29	SLC22A25	PanEnsembl
Slc22a26	SLC22A25	PanEnsembl
Marchf1	MARCHF1	MGI
March1	MARCHF1	PanEnsembl, HomoloGene
Sync	SYNC	MGI, PanEnsembl, HomoloGene
Fsd1l	FSD1L	MGI, PanEnsembl, HomoloGene
Lingo1	LINGO1	MGI, PanEnsembl, HomoloGene
Tcl1b1	TCL1B	PanEnsembl
Tcl1b4	TCL1B	PanEnsembl
Tcl1b3	TCL1B	PanEnsembl
Tcl1b5	TCL1B	PanEnsembl
Tcl1b2	TCL1B	PanEnsembl
Pole	POLE	MGI, PanEnsembl, HomoloGene
Zdhhc7	ZDHHC7	MGI, PanEnsembl, HomoloGene
Brip1	BRIP1	MGI, PanEnsembl, HomoloGene
Ccdc83	CCDC83	MGI, PanEnsembl, HomoloGene
Prkra	PRKRA	MGI, PanEnsembl, HomoloGene
Agmo	AGMO	MGI, PanEnsembl, HomoloGene
Sp140	SP140	MGI, PanEnsembl, HomoloGene
AC125149.1	SP140	PanEnsembl
AC125149.2	SP140	PanEnsembl
AC132444.5	SP140	PanEnsembl
A530032D15Rik	SP140	PanEnsembl
AC133103.1	SP140	PanEnsembl
C130026I21Rik	SP140	PanEnsembl
Tuba8	TUBA8	MGI, PanEnsembl, HomoloGene
Tmem176b	TMEM176B	MGI, PanEnsembl, HomoloGene
1810030O07Rik	CXorf38	MGI, PanEnsembl, HomoloGene
Lrrc15	LRRC15	MGI, PanEnsembl, HomoloGene
Katnal2	KATNAL2	MGI, PanEnsembl, HomoloGene
Treh	TREH	MGI, PanEnsembl, HomoloGene
Hmgn5	HMGN5	PanEnsembl
Relch	RELCH	MGI
2310035C23Rik	RELCH	PanEnsembl, HomoloGene
Cacna1c	CACNA1C	MGI, PanEnsembl, HomoloGene
Scel	SCEL	MGI, PanEnsembl, HomoloGene
Pacs1	PACS1	MGI, PanEnsembl, HomoloGene
Gjb1	GJB1	MGI, PanEnsembl, HomoloGene
Gast	GAST	MGI, PanEnsembl, HomoloGene
Rnf138	RNF138	MGI, PanEnsembl, HomoloGene
Aurkc	AURKC	MGI, PanEnsembl, HomoloGene
Lage3	LAGE3	PanEnsembl
Loxl4	LOXL4	MGI, PanEnsembl, HomoloGene
Doc2a	DOC2A	MGI, PanEnsembl, HomoloGene
Necab1	NECAB1	MGI, PanEnsembl, HomoloGene
Hus1b	HUS1B	MGI, PanEnsembl, HomoloGene
Rinl	RINL	MGI, PanEnsembl, HomoloGene
H2bc3	H2BC3	MGI
Hist1h2bb	H2BC3	HomoloGene
Hoxa10	HOXA10	MGI, PanEnsembl, HomoloGene
Phactr3	PHACTR3	MGI, PanEnsembl, HomoloGene
Slamf1	SLAMF1	MGI, PanEnsembl, HomoloGene
Odf3l2	ODF3L2	MGI, PanEnsembl, HomoloGene
H2bu1-ps	H2BU1	MGI
Hist3h2ba	H2BU1	PanEnsembl
Hist3h2bb-ps	H2BU1	HomoloGene
Psmd10	PSMD10	MGI, PanEnsembl, HomoloGene
Ndufb7	NDUFB7	MGI, PanEnsembl, HomoloGene
Olfr479	OR10K1	PanEnsembl
Thap12	THAP12	MGI
Prkrir	THAP12	PanEnsembl, HomoloGene
Prodh	PRODH	MGI, PanEnsembl, HomoloGene
Foxa3	FOXA3	MGI, PanEnsembl, HomoloGene
Prodh	LOC102724788	HomoloGene
Xkrx	XKRX	MGI, PanEnsembl, HomoloGene
Fbn2	FBN2	MGI, PanEnsembl, HomoloGene
Ppil4	PPIL4	MGI, PanEnsembl, HomoloGene
Zkscan2	ZKSCAN2	MGI, PanEnsembl, HomoloGene
Atf4	ATF4	MGI, PanEnsembl, HomoloGene
Prg2	PRG2	MGI, PanEnsembl, HomoloGene
Gnat1	GNAT1	MGI, PanEnsembl, HomoloGene
Cc2d1a	CC2D1A	MGI, PanEnsembl, HomoloGene
Ldb1	LDB1	MGI, PanEnsembl, HomoloGene
Banf2	BANF2	MGI, PanEnsembl, HomoloGene
Gabra2	GABRA2	MGI, PanEnsembl, HomoloGene
Pard6a	PARD6A	MGI, PanEnsembl, HomoloGene
Golga2	GOLGA6L2	PanEnsembl
Yy1	YY1	MGI, PanEnsembl, HomoloGene
Camk4	CAMK4	MGI, PanEnsembl, HomoloGene
Tmed10-ps	TMED10	MGI
Tmed10	TMED10	PanEnsembl, HomoloGene
Slc25a26	SLC25A26	MGI, PanEnsembl, HomoloGene
Grhl2	GRHL2	MGI, PanEnsembl, HomoloGene
Calm3	CALM3	PanEnsembl
Rln3	RLN3	MGI, PanEnsembl, HomoloGene
Gng2	GNG2	MGI, PanEnsembl, HomoloGene
Chchd10	CHCHD10	MGI, PanEnsembl, HomoloGene
Atp13a3	ATP13A3	MGI, PanEnsembl, HomoloGene
Itga6	ITGA6	MGI, PanEnsembl, HomoloGene
Btbd11	BTBD11	MGI, PanEnsembl, HomoloGene
Olfr20	OR1E2	MGI, PanEnsembl, HomoloGene
Olfr376	OR1E2	PanEnsembl
Olfr1	OR1E2	PanEnsembl
Olfr378	OR1E2	PanEnsembl
Olfr390	OR1E2	PanEnsembl
Olfr389	OR1E2	PanEnsembl
Olfr392	OR1E2	PanEnsembl
Olfr395	OR1E2	PanEnsembl
Olfr393	OR1E2	PanEnsembl
Olfr384	OR1E2	PanEnsembl
Olfr394	OR1E2	PanEnsembl
Olfr23	OR1E2	PanEnsembl
Olfr385	OR1E2	PanEnsembl
Olfr382	OR1E2	PanEnsembl
Olfr380	OR1E2	PanEnsembl
Olfr381	OR1E2	PanEnsembl
Tacc2	TACC2	MGI, PanEnsembl, HomoloGene
Tubg1	TUBG1	MGI, PanEnsembl, HomoloGene
Pfkfb3	PFKFB3	MGI, PanEnsembl, HomoloGene
Mettl16	METTL16	MGI, PanEnsembl, HomoloGene
Arnt	ARNT	MGI, PanEnsembl, HomoloGene
Lmx1a	LMX1A	MGI, PanEnsembl, HomoloGene
Bphl	BPHL	MGI, PanEnsembl, HomoloGene
Olfr731	OR4K13	PanEnsembl
Olfr1295	OR4K13	HORDE
Tinag	TINAG	MGI, PanEnsembl, HomoloGene
Hpd	HPD	MGI, PanEnsembl, HomoloGene
M6pr	M6PR	MGI, PanEnsembl, HomoloGene
Clmp	CLMP	MGI, PanEnsembl, HomoloGene
Gga2	GGA2	MGI, PanEnsembl, HomoloGene
Actr6	ACTR6	MGI, PanEnsembl, HomoloGene
Pnma1	PNMA1	MGI, PanEnsembl, HomoloGene
Usp7	USP7	MGI, PanEnsembl, HomoloGene
Sertm1	SERTM1	MGI, PanEnsembl, HomoloGene
Lsmem1	LSMEM1	MGI, PanEnsembl, HomoloGene
Olfr733	OR4N2	MGI, HomoloGene
Olfr1508	OR4N2	PanEnsembl
Pgam1	PGAM1	MGI, PanEnsembl, HomoloGene
Ccni	CCNI	MGI, PanEnsembl, HomoloGene
Frmd5	FRMD5	MGI, PanEnsembl, HomoloGene
Tef	TEF	MGI, PanEnsembl, HomoloGene
Zan	ZAN	MGI, PanEnsembl, HomoloGene
Slpi	SLPI	MGI, PanEnsembl, HomoloGene
Zmynd8	ZMYND8	MGI, PanEnsembl, HomoloGene
Lysmd4	LYSMD4	MGI, PanEnsembl, HomoloGene
Krt83	KRT83	MGI
Krt81	KRT83	PanEnsembl
5430421N21Rik	KRT83	HomoloGene
Spink14	SPINK14	MGI, PanEnsembl, HomoloGene
Fam47e	FAM47E-STBD1	PanEnsembl
Ttll9	TTLL9	MGI, PanEnsembl, HomoloGene
Ctsll3	CTSL	PanEnsembl
BC051665	CTSL	PanEnsembl
4930486L24Rik	CTSL	PanEnsembl
Ctsm	CTSL	PanEnsembl
Cts8	CTSL	PanEnsembl
Ctsr	CTSL	PanEnsembl
Cts3	CTSL	PanEnsembl
Cts6	CTSL	PanEnsembl
Ctsj	CTSL	PanEnsembl
Ctsq	CTSL	PanEnsembl
Cts7	CTSL	PanEnsembl
Cpox	CPOX	MGI, PanEnsembl, HomoloGene
Gnas	GNAS	MGI, PanEnsembl, HomoloGene
Ubqln3	UBQLN3	MGI, PanEnsembl, HomoloGene
Cldn13	CLDN25	PanEnsembl
Crb2	CRB2	MGI, PanEnsembl, HomoloGene
Repin1	REPIN1	MGI, PanEnsembl, HomoloGene
Omd	OMD	MGI, PanEnsembl, HomoloGene
Ttll5	TTLL5	MGI, PanEnsembl, HomoloGene
Zbtb7b	ZBTB7B	MGI, PanEnsembl, HomoloGene
Gm18856	ZBTB7B	PanEnsembl
Snx25	SNX25	MGI, PanEnsembl, HomoloGene
Maoa	MAOA	MGI, PanEnsembl, HomoloGene
Ciao3	CIAO3	MGI
Narfl	CIAO3	PanEnsembl, HomoloGene
Tmem202	TMEM202	MGI, PanEnsembl, HomoloGene
Rfng	RFNG	MGI, PanEnsembl, HomoloGene
Olfm3	OLFM3	MGI, PanEnsembl, HomoloGene
Fam47e	FAM47E	MGI, PanEnsembl, HomoloGene
Pklr	PKLR	MGI, PanEnsembl, HomoloGene
B9d1	B9D1	MGI, PanEnsembl, HomoloGene
Plxnb2	PLXNB2	MGI, PanEnsembl, HomoloGene
Schip1	SCHIP1	MGI, HomoloGene
Ccdc84	CCDC84	MGI, PanEnsembl, HomoloGene
Chia1	CHIA	MGI, HomoloGene
Chia	CHIA	PanEnsembl
Chi3l3	CHIA	PanEnsembl
Chi3l4	CHIA	PanEnsembl
Chi3l7	CHIA	PanEnsembl
BC051070	CHIA	PanEnsembl
Slc1a4	SLC1A4	MGI, PanEnsembl, HomoloGene
Mettl26	METTL26	MGI
0610011F06Rik	METTL26	PanEnsembl, HomoloGene
Hnf1b	HNF1B	MGI, HomoloGene
Mefv	RFPL3	PanEnsembl
Vegfa	VEGFA	MGI, PanEnsembl, HomoloGene
Git1	GIT1	MGI, PanEnsembl, HomoloGene
Tnik	TNIK	MGI, PanEnsembl, HomoloGene
Prkci	PRKCI	MGI, PanEnsembl, HomoloGene
Bmpr2	BMPR2	MGI, PanEnsembl, HomoloGene
Tia1	TIA1	MGI, PanEnsembl, HomoloGene
Prr11	PRR11	MGI, PanEnsembl, HomoloGene
Ubfd1	UBFD1	MGI, PanEnsembl, HomoloGene
Asah2	ASAH2B	PanEnsembl
Aars2	AARS2	MGI, PanEnsembl, HomoloGene
Gm12597	IFNA21	PanEnsembl
Ifna5	IFNA21	PanEnsembl
Ifna12	IFNA21	PanEnsembl
Ifna6	IFNA21	PanEnsembl
Ifna13	IFNA21	PanEnsembl
Ifna1	IFNA21	PanEnsembl
Gm13280	IFNA21	PanEnsembl
Ifna9	IFNA21	PanEnsembl
Ifna14	IFNA21	PanEnsembl
Ifnab	IFNA21	PanEnsembl
Ifna7	IFNA21	PanEnsembl
Ifna11	IFNA21	PanEnsembl
Ifna2	IFNA21	PanEnsembl
Ifna4	IFNA21	PanEnsembl
Ifnab	IFNA4	MGI, PanEnsembl
Gm12597	IFNA4	PanEnsembl
Ifna13	IFNA4	PanEnsembl
Ifna5	IFNA4	PanEnsembl
Ifna6	IFNA4	PanEnsembl, HomoloGene
Ifna12	IFNA4	PanEnsembl
Ifna1	IFNA4	PanEnsembl
Gm13280	IFNA4	PanEnsembl
Ifna9	IFNA4	PanEnsembl
Ifna11	IFNA4	PanEnsembl
Ifna2	IFNA4	PanEnsembl
Ifna14	IFNA4	PanEnsembl
Ifna4	IFNA4	PanEnsembl
Ifna7	IFNA4	PanEnsembl
Ppp3r2	PPP3R2	MGI, PanEnsembl, HomoloGene
Clstn1	CLSTN1	MGI, PanEnsembl, HomoloGene
Gm13280	IFNA17	PanEnsembl
Ifna13	IFNA17	PanEnsembl
Ifna6	IFNA17	PanEnsembl
Ifna1	IFNA17	PanEnsembl
Ifna5	IFNA17	PanEnsembl
Ifna12	IFNA17	PanEnsembl
Gm12597	IFNA17	PanEnsembl
Ifna9	IFNA17	PanEnsembl
Ifna14	IFNA17	PanEnsembl
Ifnab	IFNA17	PanEnsembl
Ifna2	IFNA17	PanEnsembl
Ifna11	IFNA17	PanEnsembl
Ifna7	IFNA17	PanEnsembl
Ifna4	IFNA17	PanEnsembl
Vps33b	VPS33B	MGI, PanEnsembl, HomoloGene
Kdm5c	KDM5C	MGI, PanEnsembl, HomoloGene
Ifna6	IFNA16	PanEnsembl
Ifna13	IFNA16	PanEnsembl
Ifna5	IFNA16	PanEnsembl
Gm12597	IFNA16	PanEnsembl
Ifna1	IFNA16	PanEnsembl
Ifna12	IFNA16	PanEnsembl
Ifna14	IFNA16	PanEnsembl
Gm13280	IFNA16	PanEnsembl
Ifnab	IFNA16	PanEnsembl
Ifna9	IFNA16	PanEnsembl
Ifna2	IFNA16	PanEnsembl
Ifna11	IFNA16	PanEnsembl
Ifna7	IFNA16	PanEnsembl
Ifna4	IFNA16	PanEnsembl
Anapc10	ANAPC10	MGI, PanEnsembl, HomoloGene
Slc38a10	SLC38A10	MGI, PanEnsembl, HomoloGene
Olfr274-ps1	OR13C4	HORDE
Cyp2c65	CYP2C19	PanEnsembl
Cyp2c29	CYP2C19	PanEnsembl
Cyp2c66	CYP2C19	PanEnsembl
Cyp2c39	CYP2C19	PanEnsembl
Cyp2c37	CYP2C19	PanEnsembl
Cyp2c38	CYP2C19	PanEnsembl
Cyp2c50	CYP2C19	PanEnsembl
Cyp2c54	CYP2C19	PanEnsembl
Cyp2c67	CYP2C19	PanEnsembl
Cyp2c68	CYP2C19	PanEnsembl
Cyp2c69	CYP2C19	PanEnsembl
Cyp2c40	CYP2C19	PanEnsembl
Rpl37a	RPL37A	MGI, PanEnsembl, HomoloGene
Tmprss11a	TMPRSS11A	MGI, PanEnsembl, HomoloGene
Homez	HOMEZ	MGI, PanEnsembl, HomoloGene
Eci2	ECI2	MGI, PanEnsembl, HomoloGene
Eci3	ECI2	PanEnsembl
Jmjd6	JMJD6	MGI, PanEnsembl, HomoloGene
Ankfn1	ANKFN1	MGI, PanEnsembl, HomoloGene
Mroh1	MROH1	MGI, PanEnsembl, HomoloGene
Bcl11b	BCL11B	MGI, PanEnsembl, HomoloGene
2210408I21Rik	KIAA0825	MGI, PanEnsembl, HomoloGene
Fstl1	FSTL1	MGI, PanEnsembl, HomoloGene
Klk4	KLK4	MGI, PanEnsembl, HomoloGene
Gpr88	GPR88	MGI, PanEnsembl, HomoloGene
Cct4	CCT4	MGI, PanEnsembl, HomoloGene
Ppm1d	PPM1D	MGI, PanEnsembl, HomoloGene
Fam81a	FAM81A	MGI, PanEnsembl, HomoloGene
Olfr430	OR6N2	MGI, PanEnsembl, HomoloGene, HORDE
Ruvbl2	RUVBL2	MGI, PanEnsembl, HomoloGene
Hoxc12	HOXC12	MGI, PanEnsembl, HomoloGene
Ankra2	ANKRA2	MGI, PanEnsembl, HomoloGene
Cdadc1	CDADC1	MGI, PanEnsembl, HomoloGene
Rln1	RLN1	MGI, PanEnsembl, HomoloGene
Kera	KERA	MGI, PanEnsembl, HomoloGene
Mrm1	MRM1	MGI, HomoloGene
Ticam2	TICAM2	MGI, PanEnsembl, HomoloGene
Ilf3	ILF3	MGI, PanEnsembl, HomoloGene
Slc10a4	SLC10A4	MGI, PanEnsembl, HomoloGene
Gm5868	SLC10A4	PanEnsembl
Tex9	TEX9	MGI, PanEnsembl, HomoloGene
Mpc1	MPC1	MGI, PanEnsembl, HomoloGene
Xkr9	XKR9	MGI, PanEnsembl, HomoloGene
Nup210l	NUP210L	MGI, PanEnsembl, HomoloGene
Pcbd1	PCBD1	MGI, PanEnsembl, HomoloGene
Clpb	CLPB	MGI, PanEnsembl, HomoloGene
Zfp831	ZNF831	MGI, PanEnsembl, HomoloGene
Aida	AIDA	MGI, PanEnsembl, HomoloGene
Lrrc32	LRRC32	MGI, PanEnsembl, HomoloGene
Adamts13	ADAMTS13	MGI, PanEnsembl, HomoloGene
Selenoi	SELENOI	MGI
Ept1	SELENOI	PanEnsembl, HomoloGene
Ankrd31	ANKRD31	MGI, HomoloGene
Gatd1	GATD1	MGI
Pddc1	GATD1	PanEnsembl, HomoloGene
Mtcl1	MTCL1	MGI
Soga2	MTCL1	PanEnsembl, HomoloGene
Grm8	GRM8	MGI, PanEnsembl, HomoloGene
Mtx1	MTX1	MGI, PanEnsembl, HomoloGene
Nme3	NME3	MGI, PanEnsembl, HomoloGene
Gm17695	C2orf16	MGI
4932415D10Rik	C2orf16	PanEnsembl
LOC102635990	C2orf16	HomoloGene
Zic2	ZIC2	MGI, PanEnsembl, HomoloGene
Mfsd9	MFSD9	MGI, PanEnsembl, HomoloGene
Slfn14	SLFN14	MGI, PanEnsembl, HomoloGene
Trmt1	TRMT1	MGI, PanEnsembl, HomoloGene
Endog	ENDOG	MGI, PanEnsembl, HomoloGene
Arpp21	ARPP21	MGI, PanEnsembl, HomoloGene
Fkbp4	FKBP4	MGI, PanEnsembl, HomoloGene
Eipr1	EIPR1	MGI
Tssc1	EIPR1	PanEnsembl, HomoloGene
Ccdc122	CCDC122	MGI, PanEnsembl, HomoloGene
Atp6v0e2	ATP6V0E2	MGI, PanEnsembl, HomoloGene
Cfap126	CFAP126	MGI
1700009P17Rik	CFAP126	PanEnsembl, HomoloGene
Ep400	EP400	MGI, PanEnsembl, HomoloGene
Slc45a2	SLC45A2	MGI, PanEnsembl, HomoloGene
Polr2g	POLR2G	MGI, PanEnsembl, HomoloGene
Mthfr	MTHFR	MGI, PanEnsembl, HomoloGene
Hist1h2an	H2AC11	MGI, HomoloGene
Hist1h2af	H2AC11	PanEnsembl
Lonrf3	LONRF3	MGI, PanEnsembl, HomoloGene
Aatk	AATK	MGI, PanEnsembl, HomoloGene
Isoc1	ISOC1	MGI, PanEnsembl, HomoloGene
Bambi	BAMBI	MGI, PanEnsembl, HomoloGene
Raph1	RAPH1	MGI, PanEnsembl, HomoloGene
Nipal1	NIPAL1	MGI, PanEnsembl, HomoloGene
Slc26a6	SLC26A6	MGI, PanEnsembl, HomoloGene
Eif4a2	EIF4A2	MGI, PanEnsembl, HomoloGene
Zfp629	ZNF629	MGI, PanEnsembl, HomoloGene
2610528J11Rik	C1orf210	MGI, PanEnsembl, HomoloGene
Lrguk	LRGUK	MGI, PanEnsembl, HomoloGene
Smim5	SMIM5	MGI, PanEnsembl, HomoloGene
Nhlh2	NHLH2	MGI, PanEnsembl, HomoloGene
Bhlha9	BHLHA9	MGI, PanEnsembl, HomoloGene
Veph1	VEPH1	MGI, PanEnsembl, HomoloGene
Tex29	TEX29	PanEnsembl
Dcdc2c	DCDC2C	MGI, PanEnsembl, HomoloGene
